;y_test_0;y_pred_0;y_test_1;y_pred_1;y_test_2;y_pred_2;y_test_3;y_pred_3
16830;36.07672;41.222305;10.87021;10.009423;36.07672;16.908522;10.87021;9.672552
16831;29.71206;24.777521;37.10301;41.23266;29.71206;23.587553;37.10301;20.440222
16832;474.00885;527.4115;48.55277;47.12014;474.00885;199.82771;48.55277;40.535225
16833;10.627175;8.560081;16.706472;17.16038;10.627175;1.450494;16.706472;19.985188
16834;30.54909;26.475481;18.126856;17.20741;30.54909;26.783934;18.126856;34.462723
16835;471.6309;459.98444;61.50199;48.154736;471.6309;155.28658;61.50199;31.693283
16836;31.581522;24.421549;19.60764;18.007961;31.581522;30.67179;19.60764;32.390923
16837;62.623296;51.76497;11.706744;14.038904;62.623296;90.09242;11.706744;21.322598
16838;42.724944;38.05631;31.53553;32.14007;42.724944;22.961088;31.53553;32.305626
16839;62.48242;51.712383;7.248717;9.215607;62.48242;38.83668;7.248717;9.255091
16840;23.49256;27.933199;54.632544;48.357986;23.49256;30.504538;54.632544;29.763157
16841;23.417568;28.013544;35.614512;40.850536;23.417568;6.4950533;35.614512;29.497257
16842;59.636304;53.529163;26.94384;30.19312;59.636304;36.222332;26.94384;30.221209
16843;13.475532;11.487781;24.809202;27.889137;13.475532;5.1526766;24.809202;28.5711
16844;41.233824;41.44897;26.751725;28.728527;41.233824;244.81842;26.751725;27.657328
16845;727.0136;657.57263;9.071028;12.107562;727.0136;253.43546;9.071028;17.992434
16846;57.537508;57.271908;32.083233;37.123398;57.537508;238.19655;32.083233;31.833153
16847;43.44206;46.93794;26.589287;32.46695;43.44206;27.002512;26.589287;32.031536
16848;37.806912;38.187363;26.81963;34.397602;37.806912;24.174124;26.81963;38.496468
16849;26.02556;32.213627;21.96522;22.08078;26.02556;37.608562;21.96522;18.185776
16850;38.565468;39.381073;78.139623;53.30719;38.565468;40.62669;78.139623;35.216248
16851;10.555675;8.404002;37.386062;31.910309;10.555675;-2.0418537;37.386062;35.90084
16852;417.842413;425.61777;20.066617;30.425978;417.842413;136.95744;20.066617;29.79347
16853;52.851852;38.98995;34.110672;35.301464;52.851852;32.12277;34.110672;25.621717
16854;13.069441;10.980891;17.20512;15.704828;13.069441;17.300173;17.20512;27.943651
16855;38.179384;32.771473;17.37747;16.03134;38.179384;33.123158;17.37747;26.198084
16856;43.861644;34.81428;16.424904;17.749722;43.861644;33.893055;16.424904;20.510378
16857;670.039206;631.75055;10.571418;9.628916;670.039206;270.1171;10.571418;9.7749
16858;748.000944;670.5269;30.83991;39.702026;748.000944;218.47629;30.83991;45.224617
16859;30.953428;27.578402;31.359825;28.445988;30.953428;48.33224;31.359825;29.10609
16860;8.67938;5.6415815;42.695976;46.8944;8.67938;4.2602205;42.695976;32.036896
16861;8.9271;9.919856;57.010068;65.069305;8.9271;5.918927;57.010068;51.261536
16862;40.381552;48.13991;39.951135;41.504734;40.381552;34.63911;39.951135;32.19431
16863;20.2094;21.195658;6.92393;8.311743;20.2094;27.298521;6.92393;8.246374
16864;35.41266;42.02229;21.645147;19.23895;35.41266;33.813877;21.645147;20.580545
16865;18.77112;21.362223;12.979521;12.270971;18.77112;11.100415;12.979521;15.770669
16866;44.289996;39.31331;20.211597;26.188145;44.289996;25.982092;20.211597;23.380735
16867;12.738508;10.376391;26.422072;26.750977;12.738508;14.66821;26.422072;29.436813
16868;20.968455;28.525286;12.034839;14.1931;20.968455;32.5089;12.034839;23.776361
16869;14.15106;10.615695;35.440137;36.124683;14.15106;8.759229;35.440137;24.371016
16870;8.061284;8.363624;8.699717;9.121092;8.061284;15.315309;8.699717;7.7702684
16871;35.004299;29.768473;21.56544;22.37783;35.004299;36.60255;21.56544;20.025137
16872;13.248396;8.63132;62.16254;56.902332;13.248396;13.616176;62.16254;56.472305
16873;55.363308;54.212414;14.329926;15.336937;55.363308;40.66168;14.329926;24.759905
16874;51.793696;43.45097;20.701248;27.020123;51.793696;33.596897;20.701248;26.394567
16875;31.912162;30.799791;13.778203;14.795753;31.912162;29.911406;13.778203;22.223055
16876;15.406308;17.54222;10.89466;12.238862;15.406308;39.940258;10.89466;17.135952
16877;10.124948;11.68117;36.416723;32.440613;10.124948;61.129463;36.416723;34.29655
16878;11.189175;5.044223;26.378072;30.338339;11.189175;11.316621;26.378072;29.05574
16879;10.366785;8.447032;31.160869;30.384966;10.366785;4.6822786;31.160869;29.845013
16880;11.891226;18.052172;50.826776;56.45897;11.891226;19.21628;50.826776;58.509293
16881;51.967314;44.80463;37.504825;42.17041;51.967314;38.09235;37.504825;41.27024
16882;23.88162;24.7175;20.70396;19.533707;23.88162;27.651838;20.70396;31.296623
16883;11.515943;16.815248;27.513108;27.082088;11.515943;18.298552;27.513108;22.402973
16884;29.810688;28.56006;47.172349;43.061855;29.810688;54.76321;47.172349;30.44975
16885;31.432698;28.983004;54.856284;52.333584;31.432698;35.260387;54.856284;22.147442
